id,ORF,direction
integer,varchar,varchar
primary key,,
1,YLR028C,gene
2,YMR120C,gene
3,YBL013W,gene
4,YGR204W,gene
5,YBR084W,gene
6,YDR408C,gene
7,YDR403W,gene
8,YNL130C,gene
9,YHR123W,gene
10,YDR503C,gene
11,YDR284C,gene
12,YCR048W,gene
13,YNR019W,gene
14,YKL004W,gene
15,YDR072C,gene
16,YNR008W,gene
17,YPL268W,gene
18,YDR058C,gene
19,YMR313C,gene
20,YOR245C,gene
21,YGR282C,gene
22,YDR261C,gene
23,YOR190W,gene
24,YLR300W,gene
25,YLR342W,gene
26,YCR034W,gene
27,YMR307W,gene
28,YMR215W,gene
29,YMR306W,gene
30,YLR343W,gene
31,YOL030W,gene
32,YGR032W,gene
33,YOL132W,gene
34,YHR068W,gene
35,YKL152C,gene
36,YJR009C,gene
37,YJL052W,gene
38,YGR192C,gene
39,YCR012W,gene
40,YEL011W,gene
41,YJL137C,gene
42,YFR015C,gene
43,YKR058W,gene
44,YLR258W,gene
45,YPR159W,gene
46,YGR143W,gene
47,YBR184W,gene
48,YIL124W,gene
49,YDL052C,gene
50,UNKNOWN,gene
51,YKR067W,gene
52,YBL011W,gene
56,YPR140W,gene
58,YLR285W,gene
59,YHR037W,gene
60,YER023W,gene
62,YLR142W,gene
63,YGR247W,gene
64,YJR016C,gene
65,YLR355C,gene
69,YLR359W,gene
70,YAR015W,gene
71,YBR153W,gene
72,YBL033C,gene
74,YOL066C,gene
75,YCL009C,gene
76,YMR108W,gene
78,YNL256W,gene
79,YMR226C,gene
81,YKL211C,gene
82,YDR007W,gene
83,YBR249C,gene
84,YDR035W,gene
85,YDR127W,gene
86,YHR044C,gene
87,YHR043C,gene
88,YHR063C,gene
90,YBR176W,gene
93,YLR209C,gene
94,YCR036W,gene
95,YDR294C,gene
96,YGL119W,gene
97,YGR255C,gene
98,YDR204W,gene
99,YOL096C,gene
100,YML110C,gene
101,YOR125C,gene
102,YLR201C,gene
103,YMR009W,gene
104,YEL038W,gene
105,YPL214C,gene
106,YPL258C,gene
107,YOL055C,gene
108,YOR377W,gene
109,YGR177C,gene
110,YLR044C,gene
111,YLR134W,gene
112,YGR087C,gene
113,YDL080C,gene
114,YDR380W,gene
115,YDR368W,gene
116,YGL256W,gene
117,YMR303C,gene
118,YBR145W,gene
119,YDL168W,gene
120,YOL086C,gene
121,YMR083W,gene
122,YMR318C,gene
123,YBR036C,gene
135,YPR002W,gene
136,YPR001W,gene
150,YAL012W,gene
151,YCL064C,gene
152,YML082W,gene
153,YKL218C,gene
154,YER086W,gene
156,YOR393W,gene
157,YGR254W,gene
158,YPL281C,gene
159,YHR174W,gene
160,YMR323W,gene
161,YDL021W,gene
162,YOL056W,gene
173,YLR027C,gene
174,YKL106W,gene
175,YHR137W,gene
176,YGL202W,gene
177,YBR166C,gene
178,YOR360C,gene
182,YER175C,gene
183,YCL018W,gene
184,YGL009C,gene
186,YOR108W,gene
187,YNL104C,gene
188,YJR148W,gene
189,YHR208W,gene
198,YBR265W,gene
199,YMR296C,gene
200,YDR062W,gene
201,YBR058C_A,gene
202,YJR025C,gene
203,YLR231C,gene
212,YGL026C,gene
241,YIL160C,gene
242,YKR009C,gene
251,YNR041C,gene
255,YER081W,gene
256,YIL074C,gene
260,YOR184W,gene
263,YGL148W,gene
265,YNL280C,gene
266,YHR042W,gene
267,YNL111C,gene
268,YIL043C,gene
269,YKL150W,gene
270,YHR007C,gene
272,YGR060W,gene
273,YDL210W,gene
274,YGR019W,gene
275,YOR374W,gene
276,YER073W,gene
277,YOR348C,gene
278,YMR250W,gene
282,YMR289W,gene
285,YNR033W,gene
288,YPR121W,gene
290,YMR293C,gene
291,YDR242W,gene
300,YCR053W,gene
306,YLR100W,gene
308,YGL001C,gene
312,YDR158W,gene
313,YER052C,gene
314,YDR531W,gene
315,YOL143C,gene
316,YBR256C,gene
317,YOR128C,gene
320,YDR232W,gene
321,YGL040C,gene
323,YNR043W,gene
324,YMR220W,gene
325,YER183C,gene
326,YAL044C,gene
327,YDR019C,gene
328,YMR189W,gene
329,YER178W,gene
330,YBR221C,gene
331,YLR017W,gene
333,YPR069C,gene
334,YLR146C,gene
335,YER091C,gene
336,YPL023C,gene
337,YGL125W,gene
338,YMR208W,gene
340,YJL221C,gene
341,YGR256W,gene
342,YHR183W,gene
343,YGR248W,gene
344,YNR034W,gene
345,YHR163W,gene
346,YCR073W_A,gene
347,YNL241C,gene
352,YNR056C,gene
353,YNR058W,gene
354,YKL182W,gene
355,YPL231W,gene
356,YBR026C,gene
357,YHR067W,gene
358,YKL192C,gene
359,YER061C,gene
360,YOR221C,gene
361,YKL055C,gene
362,YML086C,gene
363,YBR149W,gene
364,YBR115C,gene
365,YGL154C,gene
366,YNR050C,gene
369,YCR075C,gene
370,YJL060W,gene
371,YJR078W,gene
374,YBL098W,gene
375,YMR020W,gene
376,YBR034C,gene
378,YBR180W,gene
379,YDR402C,gene
384,YJL068C,gene
389,YHR072W,gene
390,YGR175C,gene
391,YLL057C,gene
392,YPL028W,gene
393,YML126C,gene
394,YHR104W,gene
399,YOR126C,gene
400,YBL015W,gene
401,YLR153C,gene
402,YAL054C,gene
403,YCR032W,gene
404,YCR010C,gene
405,YLR303W,gene
406,YPL061W,gene
407,YLR307W,gene
408,YLR308W,gene
409,YGR012W,gene
410,YJR130C,gene
423,YEL046C,gene
426,YNR016C,gene
427,YMR207C,gene
428,YFL017C,gene
429,YMR062C,gene
430,YJL071W,gene
