id,ORF,pathway
integer,varchar,varchar
primary key,foreign key,
1,YER001W,sce00513
2,YMR256C,sce00190
3,YPR035W,sce00250
4,YGR043C,sce01110
5,YBR283C,sce04141
6,YGR155W,sce00260
7,YDR118W,sce04113
8,YNL037C,sce01230
9,YPR074C,sce01110
10,YJL088W,sce01230
11,YNCJ0005C,sce00970
12,YBR153W,sce01240
13,YNCI0012,sce03008
14,YKL165C,sce00563
15,YDR507C,sce04111
16,YLR231C,sce01240
17,YKL211C,sce01230
18,YCL064C,sce00260
19,YNCO0002W,sce00970
20,YOR011W,sce02010
21,YDL232W,sce04141
22,YGL086W,sce04113
23,YGR202C,sce00440
24,YPR060C,sce00400
25,YER095W,sce03440
26,YDR007W,sce01230
27,YDR021W,sce03013
28,YGL205W,sce00071
29,YBR087W,sce03430
30,YOR308C,sce03040
31,YDR538W,sce00130
32,YDR408C,sce00230
33,YNL154C,sce04011
34,YHR163W,sce01200
35,YIL133C,sce03010
36,YMR118C,sce00190
37,YPL154C,sce04138
38,YDR258C,sce04213
39,YNL169C,sce01110
40,YGL098W,sce04130
41,YOL077W-A,sce00190
42,YBR112C,sce04011
43,YLR147C,sce03040
44,YGR044C,sce04113
45,YNCN0004W,sce00970
46,YLR354C,sce01200
47,YBR263W,sce01240
48,YPL061W,sce00053
49,YFR028C,sce04113
50,YNCE0027C,sce00970
51,YKL152C,sce00680
52,YLR208W,sce04141
53,YDR030C,sce04120
54,YEL039C,sce00190
55,YIL007C,sce03050
56,YOR136W,sce01210
57,YKL141W,sce00020
58,YKR080W,sce00670
59,YIL143C,sce03022
60,YGR017W,sce00750
61,YMR009W,sce00270
62,YOR125C,sce00130
63,YPL204W,sce03008
64,YMR261C,sce01110
65,YAL060W,sce01110
66,YKL205W,sce03013
67,YER024W,sce04146
68,YNCG0045C,sce03040
69,YLR182W,sce04011
70,YMR169C,sce00071
71,YOR108W,sce01110
72,YGR060W,sce00100
73,YHR074W,sce01240
74,YLR452C,sce04011
75,YNL117W,sce01200
76,YGR040W,sce04111
77,YLR333C,sce03010
78,YLR006C,sce04011
79,YPL153C,sce04111
80,YNCH0005W,sce00970
81,YOL140W,sce00220
82,YPL015C,sce00760
83,YHR039C-A,sce04145
84,YDR226W,sce01232
85,YNCL0031W,sce03008
86,YER005W,sce01110
87,YLR027C,sce00350
88,YLR265C,sce03450
89,YJL046W,sce01240
90,YGR023W,sce04011
91,YDR158W,sce01110
92,YGR188C,sce04111
93,YOL064C,sce00920
94,YDL246C,sce00051
95,YMR170C,sce00380
96,YER099C,sce01200
97,YCR005C,sce01230
98,YMR169C,sce00330
99,YGL256W,sce01110
100,YJR139C,sce00270
101,YDR009W,sce01250
102,YBR002C,sce01110
103,YDR287W,sce00562
104,YNCL0004C,sce00970
105,YDL067C,sce00190
106,YNCA0005W,sce00970
107,YGR124W,sce01110
108,YLR398C,sce03018
109,YKL019W,sce01110
110,YNL283C,sce04139
111,YNCL0050C,sce00970
112,YNCG0005W,sce00970
113,YDR044W,sce01240
114,YIL116W,sce00350
115,YDR354W,sce00400
116,YMR303C,sce00350
117,YKL166C,sce04138
118,YMR261C,sce00500
119,YKL062W,sce04113
120,YNCG0034W,sce00970
121,YNR053C,sce03008
122,tG_UCC_Q,sce00970
123,YMR110C,sce00330
124,YIL083C,sce00770
125,YBR127C,sce00190
126,YPL214C,sce01240
127,YDL188C,sce04113
128,YDL066W,sce01210
129,YDL137W,sce04144
130,YNCG0031W,sce00970
131,YLR207W,sce04141
132,YKR009C,sce00640
133,tY_GUA_Q,sce00970
134,YOR103C,sce04141
135,YCL040W,sce00051
136,YPR033C,sce00970
137,YOL157C,sce00500
138,YNCE0006W,sce00970
139,YGR012W,sce00270
140,YGL026C,sce01110
141,YGR088W,sce04213
142,YNCJ0025W,sce00970
143,YPR025C,sce03420
144,YDL168W,sce00680
145,YLR305C,sce04070
146,YIL020C,sce00340
147,YCR004C,sce01240
148,YMR110C,sce00340
149,YMR170C,sce01240
150,YKL213C,sce04141
151,YER178W,sce01110
152,YNCB0004W,sce00970
153,YPR035W,sce00910
154,YHR148W,sce03008
155,YEL002C,sce04141
156,YKL055C,sce01212
157,YDR297W,sce00600
158,YER163C,sce00480
159,YJL154C,sce04144
160,YER178W,sce00020
161,YGR205W,sce00260
162,YER075C,sce04011
163,YLR284C,sce04146
164,YJR046W,sce04113
165,YFL017W-A,sce03040
166,YPL028W,sce00630
167,YNCM0035C,sce00970
168,YHR174W,sce01200
169,YFL060C,sce01240
170,YDL134C,sce04111
171,YIL116W,sce00340
172,YNR006W,sce03250
173,YDL024C,sce00730
174,YLR240W,sce04136
175,YOR026W,sce04111
176,YPR113W,sce00562
177,YJR016C,sce01110
178,YLR277C,sce03015
179,YBR133C,sce04111
180,YDL140C,sce03020
181,YBR088C,sce03030
182,YER170W,sce00230
183,YLR347C,sce03013
184,YBL035C,sce03030
185,YDR311W,sce03420
186,YJL062W,sce00563
187,YKR062W,sce03022
188,YIL164C,sce00460
189,YNL288W,sce03018
190,YNCJ0001C,sce00970
191,YBR218C,sce01200
192,YKR054C,sce04145
193,YIL009W,sce04146
194,YER148W,sce03022
195,YOR020W-A,sce00190
196,YGR088W,sce00630
197,YHR147C,sce03010
198,YFL058W,sce01240
199,YNL253W,sce03040
200,YDL102W,sce03420
201,YIL066C,sce01232
202,YDR399W,sce01232
203,YMR020W,sce01240
204,YNCJ0010W,sce00970
205,YEL026W,sce03040
206,YIL094C,sce00300
207,YDL178W,sce00620
208,YBR251W,sce03010
209,YMR061W,sce03015
210,YCR031C,sce03010
211,YLR362W,sce04011
212,YOL049W,sce01240
213,YDR323C,sce04144
214,YJR153W,sce00040
215,YER073W,sce00280
216,YFL022C,sce00970
217,YDL055C,sce00520
218,Q0020,sce03008
219,YGR012W,sce01200
220,YDL014W,sce03008
221,YOL056W,sce01200
222,YMR300C,sce00250
223,YGL037C,sce00760
224,YOR155C,sce01232
225,YNL151C,sce03020
226,YGR088W,sce01200
227,YGR109C,sce04011
228,YMR246W,sce00071
229,YLR061W,sce03010
230,YGL141W,sce04120
231,YDR148C,sce00380
232,YIL052C,sce03010
233,YBR229C,sce04141
234,YML029W,sce04141
235,YLR367W,sce03010
236,YLR342W,sce04011
237,Q0275,sce00190
238,YNR007C,sce04136
239,YNCH0009C,sce00970
240,YKR009C,sce00410
241,YLR355C,sce01110
242,YPL273W,sce00270
243,YAL024C,sce04111
244,YJL221C,sce00052
245,YML016C,sce03015
246,YLR180W,sce00999
247,YMR322C,sce00620
248,YOR373W,sce04392
249,YBR026C,sce00061
